Jornada,HomeTeam,AwayTeam
30,Rayo Vallecano,Espanyol
30,Girona,Alavés
30,Real Madrid,Valencia
30,Mallorca,Celta
30,Barcelona,Betis
30,Las Palmas,Real Sociedad
30,Sevilla,Atlético de Madrid
30,Valladolid,Getafe
30,Villarreal,Athletic
30,Leganés,Osasuna
31,Athletic,Rayo Vallecano
31,Atlético de Madrid,Real Valladolid
31,Betis,Villarreal
31,Getafe,UD Las Palmas
31,Alavés,Real Madrid
31,Leganés,Barcelona
31,Osasuna,Girona
31,Real Sociedad,Mallorca
31,Valencia,Sevilla
31,Celta,Espanyol
32,Barcelona,Celta
32,Rayo Vallecano,Valencia
32,Espanyol,Getafe
32,Real Madrid,Athletic
32,UD Las Palmas,Atlético de Madrid
32,Girona,Betis
32,Real Valladolid,Osasuna
32,Villarreal,Real Sociedad
32,Sevilla,Alavés
32,Mallorca,Leganés
33,Athletic,UD Las Palmas
33,Atlético de Madrid,Rayo Vallecano
33,Barcelona,Mallorca
33,Betis,Real Valladolid
33,Celta,Villarreal
33,Getafe,Real Madrid
33,Osasuna,Sevilla
33,Alavés,Real Sociedad
33,Leganés,Girona
33,Valencia,Espanyol
34,Girona,Mallorca
34,UD Las Palmas,Valencia
34,Alavés,Atlético de Madrid
34,Espanyol,Betis
34,Real Sociedad,Athletic
34,Valladolid,Barcelona
34,Real Madrid,Celta
34,Rayo Vallecano,Getafe
34,Villarreal,Osasuna
34,Sevilla,Leganés
35,Athletic,Rayo Vallecano
35,Mallorca,Valladolid
35,Celta,Rayo Vallecano 
35,Girona,Villarreal 
35,Leganés,Espanyol 
35,Betis,Rayo Vallecano 
36,Leganés,Espanol 
37,Leganés,Espanol 
38,Leganés,Espanol
